city_code,total_credit,total_debit,regular_charges,penalty_charges,total_amount_payed_online,total_td_accounts_amount,total_loan_accounts_amount,total_td_account_count,total_loan_account_count,customer_goodness,age,customer_name
9,8354,22430,244,10,1001,24378,13302,1,1,20,56,Lively Panda 32
8,37237,13449,457,49,25323,2747,47753,1,1,61,21,Optimistic Yak 522
2,34723,14361,39,26,39437,4679,30343,4,2,58,50,Noble Iguana 760
7,12932,38421,302,103,48506,18446,44599,1,2,47,50,Happy Quokka 516
7,85602,4355,175,137,4096,19229,14943,1,2,58,50,Quiet Panda 175
3,67147,44960,148,128,42496,16470,33768,4,2,58,30,Jolly Panda 350
3,3553,20021,313,156,1292,21544,3152,4,2,16,50,Lively Cheetah 918
2,54476,37774,208,24,4823,3540,32343,1,1,45,40,Kind Panda 479
4,16227,8153,161,198,26380,4247,33214,3,2,50,56,Noble Zebra 300
10,51611,39548,463,24,38132,8265,30615,2,2,54,21,Vibrant Cheetah 701
6,77354,13091,364,199,770,11291,26663,1,2,57,21,Energetic Quokka 289
6,41892,622,227,24,3537,18038,12586,4,2,43,56,Xenial Xerus 283
3,60090,38968,33,121,19858,20744,32821,1,1,48,40,Lively Cheetah 624
2,55097,29720,253,156,41929,10764,33244,4,2,60,30,Calm Owl 921
7,58183,33737,442,171,18262,14885,37115,3,1,52,21,Quiet Koala 997
3,48334,30132,322,99,45190,3163,39323,1,1,63,30,Brave Tiger 155
10,17536,12000,353,84,5282,24067,4910,4,2,26,30,Thoughtful Zebra 507
6,24920,16791,23,136,47981,14300,22483,1,1,51,21,Energetic Monkey 411
2,89511,867,97,54,48022,18170,13750,3,2,77,30,Unique Iguana 729
5,74082,45648,470,162,17482,9831,48160,2,2,58,56,Silly Bear 834
4,98304,22224,437,88,13331,8770,38862,2,1,71,50,Jolly Panda 287
4,6359,8820,362,132,23571,11309,34185,3,2,44,21,Proud Dragon 115
2,32341,521,169,134,26976,26788,35679,4,1,55,50,Lively Yak 636
6,95969,39367,34,166,19087,2567,20178,2,1,60,21,Thoughtful Panda 218
5,44499,17515,376,144,2776,1565,23186,2,1,45,40,Unique Yak 559
4,60829,14579,39,9,34119,16888,16763,4,1,58,50,Youthful Koala 459
10,57404,26809,478,67,12095,14919,23288,1,2,47,21,Inventive Rabbit 163
4,14928,24882,300,187,34911,15937,35954,2,2,45,30,Thoughtful Dragon 792
8,73379,31135,297,44,38075,4444,40349,3,1,69,50,Silly Horse 948
9,6773,709,399,160,28195,18678,17090,2,2,40,50,Silly Falcon 258
5,54258,18561,203,89,36557,20501,36434,3,2,61,50,Rational Falcon 71
4,55711,48742,209,41,46926,23091,37280,2,2,54,21,Inventive Yak 438
3,20983,10757,21,4,46315,18914,28332,1,1,53,30,Vibrant Horse 852
10,75292,16744,495,100,20566,20691,36083,3,1,64,30,Zealous Koala 440
10,89722,6146,193,31,41723,9037,23476,1,1,79,30,Merry Monkey 210
5,97928,25270,417,167,27347,4857,9357,1,2,65,21,Fancy Monkey 468
10,3655,20333,116,111,11084,14839,1018,1,2,20,40,Delightful Artist 547
6,31663,20517,490,49,27662,25228,18297,4,1,41,56,Fancy Jaguar 787
4,92558,21366,278,101,25957,17347,43682,2,1,74,50,Thoughtful Owl 334
5,6000,35254,290,107,25094,14342,46898,1,2,38,50,Unique Falcon 646
5,27930,22870,125,112,24794,13321,21452,2,1,42,40,Rational Falcon 990
10,53805,13399,173,184,11098,23355,17762,3,1,46,56,Kind Bear 842
2,74280,24909,19,89,2679,19383,15353,4,1,46,40,Silly Vulture 142
4,23578,47312,63,199,48802,27609,3331,1,2,30,21,Zealous Owl 436
2,30734,23823,14,135,35899,21915,29953,3,1,48,21,Kind Koala 914
9,20259,7381,71,7,16220,18610,22779,1,1,41,56,Zealous Owl 423
3,44863,41261,490,48,807,27451,49186,2,1,39,21,Delightful Xerus 491
9,50930,45915,319,5,12179,1259,29213,4,1,42,56,Brave Wolf 109
2,90023,17354,431,187,46026,19919,6509,4,1,68,30,Calm Yak 933
7,77305,1592,24,101,665,1597,14974,4,1,59,56,Energetic Narwhal 19
10,71819,40382,91,184,9352,10654,24185,2,1,47,30,Silly Dragon 607
2,57694,16593,192,133,43415,8377,12106,4,1,59,40,Optimistic Unicorn 994
2,33529,27613,15,111,39192,26660,38654,2,2,51,40,Brave Quokka 216
2,7938,39340,292,24,15830,4646,18731,1,2,26,21,Youthful Bear 534
5,26622,24102,55,91,19703,21908,16809,4,2,35,30,Thoughtful Giraffe 94
10,20274,14974,370,177,40892,26404,32057,4,1,49,30,Merry Falcon 846
5,23562,42903,252,95,38644,6971,39096,3,1,46,30,Brave Monkey 321
8,23451,46193,285,72,12906,5126,3225,3,1,22,30,Energetic Vulture 130
1,43624,35989,399,143,984,16694,9264,2,2,28,50,Thoughtful Artist 294
2,38691,1099,244,3,9176,11642,49120,3,2,59,50,Noble Zebra 392
8,34368,2636,382,149,19461,15465,23323,1,1,50,40,Optimistic Narwhal 245
8,88243,29097,32,154,7673,24704,35506,3,1,58,50,Merry Unicorn 326
7,21071,38902,373,181,2472,23902,8723,1,2,18,21,Unique Zebra 576
3,17202,7501,13,198,5361,19986,16454,2,1,33,50,Thoughtful Koala 754
10,8524,45175,268,115,25675,4518,42026,2,2,36,56,Kind Vulture 553
3,92561,45892,260,33,40790,1601,25351,1,2,67,30,Merry Yak 203
3,20240,39714,23,180,20579,10392,12365,1,2,28,40,Inventive Wolf 498
8,57655,32601,91,18,13388,3250,18339,1,1,46,56,Thoughtful Panda 532
2,37998,18683,287,28,28504,12755,18237,3,1,47,50,Inventive Lion 470
7,55975,5086,302,173,42476,8777,49262,4,2,77,56,Jolly Panda 422
8,64614,46978,166,120,39513,23815,49575,4,1,60,56,Silly Artist 325
7,84168,14574,236,114,22999,25257,11664,1,2,59,56,Inventive Giraffe 723
3,51219,9554,41,14,30085,29350,22348,2,1,54,50,Quiet Zebra 435
2,33397,47427,362,71,6036,29136,14237,1,1,21,56,Kind Iguana 69
9,18927,30050,428,3,41321,1135,11029,4,2,41,56,Gentle Iguana 100
4,61075,47768,103,198,15615,12616,13723,1,2,38,56,Eager Dragon 703
1,14068,41563,145,69,1811,29955,6117,2,1,11,21,Vibrant Lion 746
9,85725,14904,38,160,25782,10898,23933,3,1,68,56,Energetic Dragon 873
10,3751,33464,76,140,4570,14161,31508,3,1,25,50,Gentle Cheetah 542
